epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.925,0.84438,2.36233,0.00207,0.38657,0.86659,0.64708,0.57443,0.56841,2.12891,0.00147,0.000330688,0.000330688,0.0672619
2,1256.59,0.74357,1.63995,0.00185,0.57807,0.83876,0.72456,0.65015,0.52236,0.97806,0.00134,0.000650874,0.000650874,0.0342488
3,1676.26,0.72761,1.44474,0.00183,0.6634,0.73293,0.75766,0.66769,0.59718,1.17837,0.00154,0.000957859,0.000957859,0.00122241
4,2205.74,0.70946,1.19767,0.00183,0.72349,0.79424,0.86091,0.75787,0.60088,0.75704,0.00158,0.0009406,0.0009406,0.0009406
5,2769.66,0.72981,1.12852,0.00188,0.84445,0.8705,0.93994,0.83357,0.55546,0.57142,0.00142,0.0009208,0.0009208,0.0009208
6,3274.79,0.66069,0.93773,0.00165,0.82062,0.82431,0.91253,0.79919,0.6118,0.63687,0.0016,0.000901,0.000901,0.000901
7,3552.07,0.67748,0.87117,0.00171,0.88405,0.90137,0.96273,0.8154,0.67014,0.45558,0.00172,0.0008812,0.0008812,0.0008812
